ADS_name	Against/Function
AcrIIA29	CRISPR-Cas - Type II-A
AcrIIA30	CRISPR-Cas - Type II-A
AcrIIA31	CRISPR-Cas - Type II-A
AcrIIA32	CRISPR-Cas - Type II-A
AcrIIA33	CRISPR-Cas - Type II-A
AcrIIA33_Seq	CRISPR-Cas - Type II-A
AcrIIA34	CRISPR-Cas - Type II-A
AcrIIC1	CRISPR-Cas - Type II-C
AcrIIC2	CRISPR-Cas - Type II-C
AcrIIC3	CRISPR-Cas - Type II-C
AcrIIC4	CRISPR-Cas - Type II-C
AcrIIC5	CRISPR-Cas - Type II-C
AcrIIC6	CRISPR-Cas - Type II-C
AcrIIC7	CRISPR-Cas - Type II-C
AcrIIC8	CRISPR-Cas - Type II-C
AcrIIC9	CRISPR-Cas - Type II-C
AcrIII_1	CRISPR-Cas - Type Any utilising cA4 as a second messenger
AcrIIIB1	CRISPR-Cas - Type III-B
AcrIIIB2	CRISPR-Cas - Type III-B
AcrVA1	CRISPR-Cas - Type V-A
AcrVA2	CRISPR-Cas - Type V-A
AcrVA3	CRISPR-Cas - Type V-A, I-C
AcrVA4	CRISPR-Cas - Type V-A
AcrVA5	CRISPR-Cas - Type V-A
AcrVIA2_new	CRISPR-Cas - Type VI-A
AcrVIA1_Lwa	CRISPR-Cas - Type VI-A
AcrVIA2	CRISPR-Cas - Type VI-A
AcrVIA3	CRISPR-Cas - Type VI-A
AcrVIA4	CRISPR-Cas - Type VI-A
AcrVIA5	CRISPR-Cas - Type VI-A
AcrVIA6	CRISPR-Cas - Type VI-A
AcrVIA7	CRISPR-Cas - Type VI-A
AcrVIB1	CRISPR-Cas - Type VI-B
Dap1	HNH
Dap2	T3SS(EXsA)
nip	NADase
NAMPT_HUMAN_2	NADP
NAMPT_XANC	NADP
danM	RM; DNA adenine methylase;Type II methyltransferase M1.DpnII
dam_3	RM; DNA adenine methylase
ELAC_like	Putative Ribonuclease
YhfI_2	Unknown
MBLBt2	metallo-beta-lactamase
Apyc1_J14	Pycsa
Apyc1_apo2	Pycsa
AFV3_109	a highly conserved protein(unknown function)
B116	DNA Binding Protein
NadM-Nudix	NADP/ADPRP
NadM-Nudix_2	NADP
Prs	NADP
Prs_2	NADP
Prs_3	NADP
ugi_3	RM
ORF14_SIFV	Unknown
ORF99_AFV1	Unknown
AcrIIA2_2	CRISPR-Cas - Type II-A
SptTad2	CBASS
klca_2	RM
ArdB_2	HYDROLASE INHIBITOR
ydiL	unknown function
aca2_2	CRISPR-Cas 
AcrIIA13b	CRISPR-Cas - Type II-A
acb1_2	CBASS
AcrF3	CRISPR-Cas
tad1_cm	Thoeris
dmd_2	histone deacetylase
AcrIIA25_2	CRISPR-Cas 
AcrIIC4_2	CRISPR-Cas - Type -C
AcrIIIB2_2	CRISPR-Cas - Type III-B
AcrVA3_2	CRISPR-Cas
Adfm_1	DarTG
DarG	DarTG
Adfb	DarTG
Adfn_t4	DarTG
Adfm_2	DarTG
Adfm_4	DarTG
Adfm_3	DarTG
JSS1_004	DndFGH / CRISPR / QatABCD / SIR2+HerA
Acb4	CBASS
RelB	RelE/TA
5004	RelE/TA
5021	RelE/TA
5061	RelE/TA
5277	RelE/TA
Gp48	DNA
BxaP	BREX/RM
TOXI	ToxIN/TA
RT	Retron-Sen2
AbiEi	AbiEii/TA
ardk_2	RM
namat_sp	NAD
tad2_spo1	Thoeris; CBASS
SSB	Klebsiella pneumoniae subsp. pneumoniae MGH 78578(Expression System: Escherichia coli BL21)
bet	RECOMBINATION/DNA
Prs_like4	TRANSFERASE
Prs_like5	TRANSFERASE
PAP39	REGULATORY PROTEIN
Prps1	TRANSFERASE
PAP41	TRANSFERASE
prsA	TRANSFERASE
Prs_like6	TRANSFERASE
prsA_2	TRANSFERASE
prs_R32	TRANSFERASE
Mcbe1	TRANSFERASE
tRNase	HYDROLASE
RNaseZ	HYDROLASE
PhnP	HYDROLASE
PhnP_new	HYDROLASE
Q8A8B0	STRUCTURAL GENOMICS, UNKNOWN FUNCTION
TTHA0132	UNKNOWN FUNCTION
C6orf130	GENE REGULATION
OR342	DE NOVO PROTEIN
Poa1p	HYDROLASE
CbTad1	VIRAL PROTEIN
SSO0001	UNKNOWN FUNCTION
Retron_Ec86	RNA BINDING PROTEIN/DNA/RNA
Retron_Eco7	RNA BINDING PROTEIN
YMDB	HYDROLASE
ZipD	HYDROLASE
tRNase_Z	HYDROLASE
T6c	HYDROLASE
BAB1_1016	HYDROLASE
SCO6735	HYDROLASE
VEEV	VIRAL PROTEIN
P1234	VIRAL PROTEIN
parp14	TRANSFERASE
GDAP2	SIGNALING PROTEIN
ORF1a	VIRAL PROTEIN
MacroD2	HYDROLASE
NSP3	VIRAL PROTEIN
rep	HYDROLASE
EF2626	TRANSFERASE
PQQ	HYDROLASE
Rnase_ZS1	RNA BINDING PROTEIN
rep_bat	HYDROLASE
TM_1162	HYDROLASE
UPF0173	METAL BINDING PROTEIN
AcrIE10_like	Immune System/RNA
Tfu_1588	IMMUNE SYSTEM
casC	IMMUNE SYSTEM/RNA
arda_2	REPLICATION INHIBITOR
CbbQO	CHAPERONE
